Date,Venezuela
2005-05-22,0.181
2005-05-29,0.192
2005-06-05,0.176
2005-06-12,0.175
2005-06-19,0.200
2005-06-26,0.211
2005-07-03,0.186
2005-07-10,0.183
2005-07-17,0.222
2005-07-24,0.196
2005-07-31,0.218
2005-08-07,0.180
2005-08-14,0.255
2005-08-21,0.217
2005-08-28,0.197
2005-09-04,0.229
2005-09-11,0.226
2005-09-18,0.190
2005-09-25,0.229
2005-10-02,0.207
2005-10-09,0.239
2005-10-16,0.283
2005-10-23,0.301
2005-10-30,0.246
2005-11-06,0.244
2005-11-13,0.206
2005-11-20,0.275
2005-11-27,0.211
2005-12-04,0.177
2005-12-11,0.187
2005-12-18,0.180
2005-12-25,0.180
2006-01-01,0.204
2006-01-08,0.207
2006-01-15,0.201
2006-01-22,0.200
2006-01-29,0.194
2006-02-05,0.215
2006-02-12,0.217
2006-02-19,0.199
2006-02-26,0.183
2006-03-05,0.189
2006-03-12,0.167
2006-03-19,0.204
2006-03-26,0.205
2006-04-02,0.168
2006-04-09,0.229
2006-04-16,0.172
2006-04-23,0.145
2006-04-30,0.148
2006-05-07,0.172
2006-05-14,0.169
2006-05-21,0.176
2006-05-28,0.193
2006-06-04,0.193
2006-06-11,0.204
2006-06-18,0.207
2006-06-25,0.201
2006-07-02,0.173
2006-07-09,0.171
2006-07-16,0.161
2006-07-23,0.147
2006-07-30,0.149
2006-08-06,0.152
2006-08-13,0.150
2006-08-20,0.150
2006-08-27,0.150
2006-09-03,0.147
2006-09-10,0.148
2006-09-17,0.150
2006-09-24,0.146
2006-10-01,0.159
2006-10-08,0.165
2006-10-15,0.181
2006-10-22,0.177
2006-10-29,0.206
2006-11-05,0.203
2006-11-12,0.191
2006-11-19,0.216
2006-11-26,0.182
2006-12-03,0.183
2006-12-10,0.203
2006-12-17,0.199
2006-12-24,0.204
2006-12-31,0.230
2007-01-07,0.258
2007-01-14,0.225
2007-01-21,0.222
2007-01-28,0.248
2007-02-04,0.233
2007-02-11,0.191
2007-02-18,0.206
2007-02-25,0.207
2007-03-04,0.199
2007-03-11,0.169
2007-03-18,0.182
2007-03-25,0.177
2007-04-01,0.173
2007-04-08,0.183
2007-04-15,0.166
2007-04-22,0.162
2007-04-29,0.156
2007-05-06,0.179
2007-05-13,0.174
2007-05-20,0.163
2007-05-27,0.170
2007-06-03,0.189
2007-06-10,0.189
2007-06-17,0.224
2007-06-24,0.203
2007-07-01,0.220
2007-07-08,0.234
2007-07-15,0.262
2007-07-22,0.288
2007-07-29,0.309
2007-08-05,0.345
2007-08-12,0.346
2007-08-19,0.388
2007-08-26,0.366
2007-09-02,0.375
2007-09-09,0.353
2007-09-16,0.378
2007-09-23,0.359
2007-09-30,0.362
2007-10-07,0.385
2007-10-14,0.434
2007-10-21,0.430
2007-10-28,0.417
2007-11-04,0.441
2007-11-11,0.457
2007-11-18,0.435
2007-11-25,0.411
2007-12-02,0.408
2007-12-09,0.441
2007-12-16,0.492
2007-12-23,0.568
2007-12-30,0.509
2008-01-06,0.558
2008-01-13,0.675
2008-01-20,0.773
2008-01-27,0.733
2008-02-03,0.729
2008-02-10,0.659
2008-02-17,0.624
2008-02-24,0.544
2008-03-02,0.522
2008-03-09,0.424
2008-03-16,0.310
2008-03-23,0.483
2008-03-30,0.374
2008-04-06,0.309
2008-04-13,0.270
2008-04-20,0.259
2008-04-27,0.239
2008-05-04,0.222
2008-05-11,0.227
2008-05-18,0.238
2008-05-25,0.207
2008-06-01,0.214
2008-06-08,0.216
2008-06-15,0.226
2008-06-22,0.198
2008-06-29,0.182
2008-07-06,0.181
2008-07-13,0.178
2008-07-20,0.175
2008-07-27,0.180
2008-08-03,0.170
2008-08-10,0.177
2008-08-17,0.174
2008-08-24,0.173
2008-08-31,0.187
2008-09-07,0.164
2008-09-14,0.171
2008-09-21,0.178
2008-09-28,0.176
2008-10-05,0.197
2008-10-12,0.216
2008-10-19,0.233
2008-10-26,0.251
2008-11-02,0.267
2008-11-09,0.241
2008-11-16,0.205
2008-11-23,0.223
2008-11-30,0.237
2008-12-07,0.245
2008-12-14,0.215
2008-12-21,0.216
2008-12-28,0.205
2009-01-04,0.206
2009-01-11,0.213
2009-01-18,0.241
2009-01-25,0.220
2009-02-01,0.221
2009-02-08,0.209
2009-02-15,0.199
2009-02-22,0.207
2009-03-01,0.217
2009-03-08,0.232
2009-03-15,0.210
2009-03-22,0.194
2009-03-29,0.205
2009-04-05,0.201
2009-04-12,0.226
2009-04-19,0.227
2009-04-26,0.226
2009-05-03,0.194
2009-05-10,0.207
2009-05-17,0.212
2009-05-24,0.184
2009-05-31,0.181
2009-06-07,0.199
2009-06-14,0.205
2009-06-21,0.195
2009-06-28,0.180
2009-07-05,0.177
2009-07-12,0.187
2009-07-19,0.183
2009-07-26,0.192
2009-08-02,0.191
2009-08-09,0.195
2009-08-16,0.201
2009-08-23,0.230
2009-08-30,0.239
2009-09-06,0.252
2009-09-13,0.252
2009-09-20,0.280
2009-09-27,0.347
2009-10-04,0.405
2009-10-11,0.473
2009-10-18,0.586
2009-10-25,0.637
2009-11-01,0.656
2009-11-08,0.681
2009-11-15,0.690
2009-11-22,0.729
2009-11-29,0.626
2009-12-06,0.573
2009-12-13,0.502
2009-12-20,0.450
2009-12-27,0.434
2010-01-03,0.471
2010-01-10,0.414
2010-01-17,0.395
2010-01-24,0.371
2010-01-31,0.362
2010-02-07,0.337
2010-02-14,0.345
2010-02-21,0.373
2010-02-28,0.361
2010-03-07,0.366
2010-03-14,0.375
2010-03-21,0.350
2010-03-28,0.325
2010-04-04,0.351
2010-04-11,0.349
2010-04-18,0.369
2010-04-25,0.420
2010-05-02,0.464
2010-05-09,0.582
2010-05-16,0.744
2010-05-23,0.948
2010-05-30,1.000
2010-06-06,0.977
2010-06-13,0.960
2010-06-20,0.963
2010-06-27,0.977
2010-07-04,0.865
2010-07-11,0.761
2010-07-18,0.703
2010-07-25,0.658
2010-08-01,0.615
2010-08-08,0.611
2010-08-15,0.607
2010-08-22,0.552
2010-08-29,0.529
2010-09-05,0.504
2010-09-12,0.464
2010-09-19,0.412
2010-09-26,0.414
2010-10-03,0.405
2010-10-10,0.437
2010-10-17,0.471
2010-10-24,0.568
2010-10-31,0.632
2010-11-07,0.628
2010-11-14,0.574
2010-11-21,0.553
2010-11-28,0.481
2010-12-05,0.432
2010-12-12,0.372
2010-12-19,0.323
2010-12-26,0.327
2011-01-02,0.340
2011-01-09,0.341
2011-01-16,0.348
2011-01-23,0.318
2011-01-30,0.322
2011-02-06,0.330
2011-02-13,0.320
2011-02-20,0.313
2011-02-27,0.271
2011-03-06,0.263
2011-03-13,0.274
2011-03-20,0.300
2011-03-27,0.279
2011-04-03,0.271
2011-04-10,0.214
2011-04-17,0.178
2011-04-24,0.210
2011-05-01,0.189
2011-05-08,0.201
2011-05-15,0.206
2011-05-22,0.205
2011-05-29,0.199
2011-06-05,0.206
2011-06-12,0.195
2011-06-19,0.188
2011-06-26,0.185
2011-07-03,0.174
2011-07-10,0.175
2011-07-17,0.160
2011-07-24,0.166
2011-07-31,0.156
2011-08-07,0.156
2011-08-14,0.159
2011-08-21,0.158
2011-08-28,0.157
2011-09-04,0.157
2011-09-11,0.164
2011-09-18,0.183
2011-09-25,0.175
2011-10-02,0.189
2011-10-09,0.199
2011-10-16,0.246
2011-10-23,0.299
2011-10-30,0.330
2011-11-06,0.296
2011-11-13,0.274
2011-11-20,0.278
2011-11-27,0.251
2011-12-04,0.232
2011-12-11,0.208
2011-12-18,0.183
2011-12-25,0.182
2012-01-01,0.183
2012-01-08,0.197
2012-01-15,0.203
2012-01-22,0.214
2012-01-29,0.205
2012-02-05,0.198
2012-02-12,0.184
2012-02-19,0.191
2012-02-26,0.198
2012-03-04,0.204
2012-03-11,0.186
2012-03-18,0.184
2012-03-25,0.174
2012-04-01,0.161
2012-04-08,0.169
2012-04-15,0.171
2012-04-22,0.166
2012-04-29,0.165
2012-05-06,0.168
2012-05-13,0.181
2012-05-20,0.197
2012-05-27,0.202
2012-06-03,0.188
2012-06-10,0.182
2012-06-17,0.186
2012-06-24,0.196
2012-07-01,0.200
2012-07-08,0.182
2012-07-15,0.192
2012-07-22,0.200
2012-07-29,0.212
2012-08-05,0.224
2012-08-12,0.235
2012-08-19,0.258
2012-08-26,0.273
2012-09-02,0.269
2012-09-09,0.269
2012-09-16,0.243
2012-09-23,0.236
2012-09-30,0.235
2012-10-07,0.224
2012-10-14,0.243
2012-10-21,0.272
2012-10-28,0.326
2012-11-04,0.346
2012-11-11,0.333
2012-11-18,0.307
2012-11-25,0.309
2012-12-02,0.277
2012-12-09,0.229
2012-12-16,0.228
2012-12-23,0.235
2012-12-30,0.223
2013-01-06,0.231
2013-01-13,0.221
2013-01-20,0.248
2013-01-27,0.252
2013-02-03,0.267
2013-02-10,0.245
2013-02-17,0.263
2013-02-24,0.312
2013-03-03,0.255
2013-03-10,0.258
2013-03-17,0.288
2013-03-24,0.215
2013-03-31,0.281
2013-04-07,0.215
2013-04-14,0.195
2013-04-21,0.223
2013-04-28,0.218
2013-05-05,0.259
2013-05-12,0.314
2013-05-19,0.334
2013-05-26,0.332
2013-06-02,0.321
2013-06-09,0.310
2013-06-16,0.299
2013-06-23,0.277
2013-06-30,0.250
2013-07-07,0.232
2013-07-14,0.215
2013-07-21,0.214
2013-07-28,0.213
2013-08-04,0.221
2013-08-11,0.228
2013-08-18,0.241
2013-08-25,0.261
2013-09-01,0.242
2013-09-08,0.247
2013-09-15,0.247
2013-09-22,0.268
2013-09-29,0.291
2013-10-06,0.315
2013-10-13,0.360
2013-10-20,0.404
2013-10-27,0.449
2013-11-03,0.489
2013-11-10,0.468
2013-11-17,0.499
2013-11-24,0.489
2013-12-01,0.453
2013-12-08,0.440
2013-12-15,0.450
2013-12-22,0.471
2013-12-29,0.456
2014-01-05,0.438
2014-01-12,0.516
2014-01-19,0.526
2014-01-26,0.493
2014-02-02,0.522
2014-02-09,0.443
2014-02-16,0.379
2014-02-23,0.306
2014-03-02,0.269
2014-03-09,0.302
2014-03-16,0.286
2014-03-23,0.271
2014-03-30,0.276
2014-04-06,0.276
2014-04-13,0.238
2014-04-20,0.249
2014-04-27,0.265
2014-05-04,0.249
2014-05-11,0.251
2014-05-18,0.315
2014-05-25,0.371
2014-06-01,0.339
2014-06-08,0.297
2014-06-15,0.316
2014-06-22,0.320
2014-06-29,0.330
2014-07-06,0.343
2014-07-13,0.346
2014-07-20,0.381
2014-07-27,0.392
2014-08-03,0.421
2014-08-10,0.478
2014-08-17,0.528
2014-08-24,0.539
2014-08-31,0.547
2014-09-07,0.597
2014-09-14,0.664
2014-09-21,0.777
2014-09-28,0.845
2014-10-05,0.980
2014-10-12,0.952
2014-10-19,0.875
2014-10-26,0.798
2014-11-02,0.674
2014-11-09,0.588
2014-11-16,0.510
2014-11-23,0.491
2014-11-30,0.416
2014-12-07,0.284
2014-12-14,0.185
2014-12-21,0.181
2014-12-28,0.179
2015-01-04,0.177
2015-01-11,0.189
2015-01-18,0.197
2015-01-25,0.186
2015-02-01,0.189
2015-02-08,0.166
2015-02-15,0.163
2015-02-22,0.162
2015-03-01,0.174
2015-03-08,0.176
2015-03-15,0.163
2015-03-22,0.162
2015-03-29,0.139
2015-04-05,0.158
2015-04-12,0.147
2015-04-19,0.158
2015-04-26,0.143
2015-05-03,0.155
2015-05-10,0.152
2015-05-17,0.149
2015-05-24,0.157
2015-05-31,0.150
2015-06-07,0.144
2015-06-14,0.153
2015-06-21,0.154
2015-06-28,0.162
2015-07-05,0.171
2015-07-12,0.166
2015-07-19,0.175
2015-07-26,0.174
2015-08-02,0.179
2015-08-09,0.177
